Chanel_Name,band_width,n_neighbors,weights,metric,accuracy_train,accuracy_test
Left,10,8,uniform,manhattan,0.6589958158995816,0.6333333333333333
Left,10,8,uniform,chebyshev,0.6192468619246861,0.5916666666666667
Left,10,8,uniform,minkowski,0.6401673640167364,0.6
Left,10,8,distance,euclidean,1.0,0.6083333333333333
Left,10,8,distance,manhattan,1.0,0.6583333333333333
Left,10,8,distance,chebyshev,1.0,0.6
Left,10,8,distance,minkowski,1.0,0.6083333333333333
Left,10,9,uniform,euclidean,0.6317991631799164,0.575
Left,10,9,uniform,manhattan,0.6569037656903766,0.6416666666666667
Left,10,9,uniform,chebyshev,0.6150627615062761,0.5583333333333333
Left,10,9,uniform,minkowski,0.6317991631799164,0.575
Left,10,9,distance,euclidean,1.0,0.6083333333333333
Left,10,9,distance,manhattan,1.0,0.6583333333333333
Left,10,9,distance,chebyshev,1.0,0.6
Left,10,9,distance,minkowski,1.0,0.6083333333333333
Left,10,10,uniform,euclidean,0.6443514644351465,0.5833333333333334
Left,10,10,uniform,manhattan,0.6485355648535565,0.6166666666666667
Left,10,10,uniform,chebyshev,0.6129707112970711,0.575
Left,10,10,uniform,minkowski,0.6443514644351465,0.5833333333333334
Left,10,10,distance,euclidean,1.0,0.5916666666666667
Left,10,10,distance,manhattan,1.0,0.6333333333333333
Left,10,10,distance,chebyshev,1.0,0.6166666666666667
Left,10,10,distance,minkowski,1.0,0.5916666666666667
Left,10,11,uniform,euclidean,0.6213389121338913,0.5583333333333333
Left,10,11,uniform,manhattan,0.6464435146443515,0.6
Left,10,11,uniform,chebyshev,0.600418410041841,0.5583333333333333
Left,10,11,uniform,minkowski,0.6213389121338913,0.5583333333333333
Left,10,11,distance,euclidean,1.0,0.5833333333333334
Left,10,11,distance,manhattan,1.0,0.6333333333333333
Left,10,11,distance,chebyshev,1.0,0.5916666666666667
Left,10,11,distance,minkowski,1.0,0.5833333333333334
Left,10,12,uniform,euclidean,0.6213389121338913,0.55
Left,10,12,uniform,manhattan,0.6380753138075314,0.6
Left,10,12,uniform,chebyshev,0.5899581589958159,0.5083333333333333
Left,10,12,uniform,minkowski,0.6213389121338913,0.55
Left,10,12,distance,euclidean,1.0,0.5666666666666667
Left,10,12,distance,manhattan,1.0,0.6083333333333333
Left,10,12,distance,chebyshev,1.0,0.575
Left,10,12,distance,minkowski,1.0,0.5666666666666667
Left,10,13,uniform,euclidean,0.6234309623430963,0.5416666666666666
Left,10,13,uniform,manhattan,0.6297071129707112,0.6083333333333333
Left,10,13,uniform,chebyshev,0.5941422594142259,0.525
Left,10,13,uniform,minkowski,0.6234309623430963,0.5416666666666666
Left,10,13,distance,euclidean,1.0,0.5666666666666667
Left,10,13,distance,manhattan,1.0,0.625
Left,10,13,distance,chebyshev,1.0,0.575
Left,10,13,distance,minkowski,1.0,0.5666666666666667
Left,10,14,uniform,euclidean,0.6276150627615062,0.5166666666666667
Left,10,14,uniform,manhattan,0.6297071129707112,0.575
Left,10,14,uniform,chebyshev,0.5836820083682008,0.5083333333333333
Left,10,14,uniform,minkowski,0.6276150627615062,0.5166666666666667
Left,10,14,distance,euclidean,1.0,0.5666666666666667
Left,10,14,distance,manhattan,1.0,0.625
Left,10,14,distance,chebyshev,1.0,0.5666666666666667
Left,10,14,distance,minkowski,1.0,0.5666666666666667
Left,10,15,uniform,euclidean,0.6255230125523012,0.5416666666666666
Left,10,15,uniform,manhattan,0.6171548117154811,0.5666666666666667
Left,10,15,uniform,chebyshev,0.5899581589958159,0.525
Left,10,15,uniform,minkowski,0.6255230125523012,0.5416666666666666
Left,10,15,distance,euclidean,1.0,0.575
Left,10,15,distance,manhattan,1.0,0.6083333333333333
Left,10,15,distance,chebyshev,1.0,0.5916666666666667
Left,10,15,distance,minkowski,1.0,0.575
Left,10,16,uniform,euclidean,0.6171548117154811,0.5333333333333333
Left,10,16,uniform,manhattan,0.6213389121338913,0.5666666666666667
Left,10,16,uniform,chebyshev,0.5899581589958159,0.5666666666666667
Left,10,16,uniform,minkowski,0.6171548117154811,0.5333333333333333
Left,10,16,distance,euclidean,1.0,0.575
Left,10,16,distance,manhattan,1.0,0.6083333333333333
Left,10,16,distance,chebyshev,1.0,0.5833333333333334
Left,10,16,distance,minkowski,1.0,0.575
Left,10,17,uniform,euclidean,0.6171548117154811,0.55
Left,10,17,uniform,manhattan,0.6129707112970711,0.5666666666666667
Left,10,17,uniform,chebyshev,0.602510460251046,0.5583333333333333
Left,10,17,uniform,minkowski,0.6171548117154811,0.55
Left,10,17,distance,euclidean,1.0,0.575
Left,10,17,distance,manhattan,1.0,0.6166666666666667
Left,10,17,distance,chebyshev,1.0,0.5916666666666667
Left,10,17,distance,minkowski,1.0,0.575
Left,10,18,uniform,euclidean,0.6129707112970711,0.55
Left,10,18,uniform,manhattan,0.6129707112970711,0.5583333333333333
Left,10,18,uniform,chebyshev,0.5941422594142259,0.5416666666666666
Left,10,18,uniform,minkowski,0.6129707112970711,0.55
Left,10,18,distance,euclidean,1.0,0.575
Left,10,18,distance,manhattan,1.0,0.6083333333333333
Left,10,18,distance,chebyshev,1.0,0.5583333333333333
Left,10,18,distance,minkowski,1.0,0.575
Left,10,19,uniform,euclidean,0.604602510460251,0.5583333333333333
Left,10,19,uniform,manhattan,0.5920502092050209,0.5666666666666667
Left,10,19,uniform,chebyshev,0.5941422594142259,0.575
Left,10,19,uniform,minkowski,0.604602510460251,0.5583333333333333
Left,10,19,distance,euclidean,1.0,0.575
Left,10,19,distance,manhattan,1.0,0.6166666666666667
Left,10,19,distance,chebyshev,1.0,0.5666666666666667
Left,10,19,distance,minkowski,1.0,0.575
Left,10,20,uniform,euclidean,0.6108786610878661,0.5666666666666667
Left,10,20,uniform,manhattan,0.602510460251046,0.55
